occurrence_no,pres_mode,preservation_quality,common_body_parts,abund_value,abund_unit,class,order,family,genus,taxon_environment,life_habit,diet,museum,collection_no,early_interval,late_interval,time_bins,age_max,age_min,age_median,age_uncer_range,lng,lat,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_name,accepted_attr,accepted_rank,accepted_no,identified_name,identified_rank,identified_no,difference,ref_author,ref_pubyr,reference_no,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc.1,protected,stratscale,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,environment,tectonic_setting,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,spatial_resolution,preservation_comments,collection_type,collection_methods,collectors,collection_dates,collection_comments,taxonomy_comments,composition,species,municipality,outcrop_details,outcrop_overview,source,ref
1338517,body,,,,,Amphibia,Temnospondyli,Branchiosauridae,Melanerpeton,"brackish,freshwater,terrestrial",amphibious,carnivore,,58139,Rotliegendes,,-,283.5,259.51,271.505,23.99,16.335833,50.583889,NMP 433 (Fritsch Orig. 103) (Lectotype: complete skeleton),CZ,Boheme,,,,,,Melanerpeton pusillum,,species,345777.0,Melanerpeton n. sp. pusillum,species,345777.0,,Schoch and Milner,2014.0,57795.0,"Olivetin, Broumov City, Boheme",,"OlivtÃ­n, Oelberg bei Branau",based on nearby landmark,seconds,,"OlivetÃ­n, close to the City Broumov, Boheme\r\nGerman name of Olivetin (Oelberg) given by Estes 1970, J Paleont",gplates,305,mid,26.98,10.91,scotese,305,mid,28.15,12.7,seton,not computable using this model,,,,CZ,,,"Lower Permian (i.e., Rotliegendes: JA)",,"""limestone""",,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,survey of museum collection,,,"Geologic-paleontological department of the National-Museum, Prag",,phosphatic,,,,,,
1338514,body,,,,,Amphibia,Temnospondyli,Eryopidae,Onchiodon,"brackish,freshwater,terrestrial",amphibious,carnivore,,180761,Asselian,,Asselian,298.9,293.52,296.21,5.38,11.517153,48.371948,NHM-WP 2140a-z (Holotype: complete skull (length 28.5cm) and partial postcranial skeleton),DE,Thuringia,,Manebach,,,,Onchiodon thuringiensis,,species,345776.0,Onchiodon n. sp. thuringiensis,species,345776.0,,Schoch and Milner,2014.0,57795.0,Kammerberg near Manebach,,,based on nearby landmark,6,small collection,"Coordinates based on the village of Kammerberg, near Manebach, Thuringia, Germany.",gplates,305,mid,22.53,4.49,scotese,305,mid,20.92,2.6,seton,not computable using this model,,,,DE,,,"Pennsylvanian-Permian Boundary. Stratigraphically above the Ilmenau Formation, which was recently dated 299.3âÂ±â0.3 Ma by U-Pb CA-ID-TIMS (LÃ¼tzner et al. 2021), indicating an Asselian age.",,not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,,,,,,
1338510,body,,,,,Amphibia,Temnospondyli,Eryopidae,Onchiodon,"brackish,freshwater,terrestrial",amphibious,carnivore,,180757,Gzhelian,,Gzhelian,303.7,298.9,301.3,4.8,10.85653,50.666248,"PSUL 404 (Holotype, part of Langenhan collection: partial skull (length < 10cm) and pectoral elements)",DE,Thuringia,,Mohrenbach,,,,Onchiodon manebachensis,,species,345775.0,Onchiodon n. sp. manebachensis,species,345775.0,,Schoch and Milner,2014.0,57795.0,"Cliff at Ilm River, Moosbach",,,based on nearby landmark,6,small collection,"Coorinates based on Moosbach, near Manebach in Thuringia, Germany",gplates,305,mid,20.94,5.87,scotese,305,mid,19.59,3.44,seton,not computable using this model,,,,DE,,,,"The Georgenthal and MÃ¶hrenbach Formations unconformably overlie the folded Variscan basement, which consists of Proterozoic to Lower Palaeozoic formations of the Saxothuringian zone in the SE, a deeply-weathered granitic massif in the middle part (ThÃ¼ringer Hauptgranit, VisÃ©), and metamorphic rocks of the Ruhla Crystalline Complex in the NW. The Georgenthal and MÃ¶hrenbach formations mainly consist of trachyticlatitic volcanics, pyroclastics and intrusives. In addition, the MÃ¶hrenbach Formation contains acid volcanics that become increasingly acid upwards.",not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,,,,PSUL Langehan collection,phosphatic,,,,,,
1338507,body,,,,,Amphibia,Temnospondyli,Eryopidae,Onchiodon,"brackish,freshwater,terrestrial",amphibious,carnivore,,176543,Gzhelian,,Gzhelian,303.7,298.9,301.3,4.8,10.453702,50.877323,"NHM P15 (Holotype: small skull (5.4cm long) and partial post cranial skeleton). Also, other NHM and FG specimens listed by Werneburg (1989)",DE,Thuringia,Emsetal,Ilmenau,,,,Onchiodon langenhani,,species,345774.0,Onchiodon n. sp. langenhani,species,345774.0,,Schoch and Milner,2014.0,57795.0,Sembachtal near Winterstein,,,based on nearby landmark,6,small collection,,gplates,305,mid,20.64,6.0,scotese,305,mid,19.29,3.56,seton,not computable using this model,,,,DE,,,,,not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,,,,,,
1338318,body,,,,,Amphibia,Temnospondyli,Eryopidae,Eryops,"brackish,freshwater,terrestrial",amphibious,carnivore,MCZ,79163,Asselian,,Asselian,298.9,293.52,296.21,5.38,-98.777496,33.449722,"MCZ 1914 (Complete skull, 32cm long) and MCZ 1793 (partial skull) (Werneburg, 2008)",US,Texas,Archer,Archer City,Wichita,,,Eryops,,genus,37011.0,Eryops sp.,genus,37011.0,,Schoch and Milner,2014.0,57795.0,Cottonwood Creek (Moran Fm.),,Locality IIb (Romer & Price),estimated from map,seconds,outcrop,"Cottonwood Creek is a tributary of the south fork of the Little Wichita River (about 10 miles south of Archer City). Locality is ""near the head of Cottonwood Creek, close to the southern border of Archer Co."" (Romer & Price, 1940) ",gplates,101,mid,-30.65,-2.02,scotese,101,mid,-32.18,-4.57,seton,not computable using this model,,,,US,,group of beds,"""about 50 feet below the Sedwick limestone equivalent"" (Clark & Carroll, 1973)\r\nThe former Moran Formation comprises the lower part of the Archer City Formation (Hentz, 1988, The University of Texas at Austin, Bureau of Economic Geology, Report of Investigations, 170).",,not reported,,,,terrestrial indet.,foreland basin,macrofossils,,,,,,,taxonomic,observed (not collected),,,,,phosphatic,,,,,,
1338317,body,,,,,Amphibia,Temnospondyli,Branchiosauridae,Apateon,"brackish,freshwater,terrestrial",amphibious,carnivore,,180675,Gzhelian,,Gzhelian,303.7,298.9,301.3,4.8,10.724043,50.638474,"NHMS WP656 (disarticulated skull, 1.3cm))",DE,Thuringia,Suhl,Mohrenbach,,,,Apateon intermedius,,species,345645.0,Apateon n. sp. intermedius,species,345645.0,,Schoch and Milner,2014.0,57795.0,Silbergrund near Stutzerbach,,StÃ¼tzerbach,based on nearby landmark,6,small collection,"Coordinates based on the location of Silbergrund, Suhl, Thuringia, Germany.",gplates,305,mid,20.87,5.82,scotese,305,mid,19.52,3.38,seton,not computable using this model,,,,DE,,group of beds,MÃ¶hrenbach Formation,,not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,,,,,,
1338316,body,,,,,Amphibia,Temnospondyli,Eryopidae,Actinodon,"brackish,freshwater,terrestrial",amphibious,carnivore,,176500,Autunian,,-,298.9,283.5,291.2,15.4,4.279287,46.99017,"MHNA 15/10/62 (Werneburg, 1997, Fig. 4), MHNS VP5 (Werneburg, 1997, Fig. 5), MMG-FrP1 (Werneburg, 1997, Figs. 1-2)",FR,Saone et Loire,,Millery Series,,,,Actinodon frossardi,,species,345642.0,Actinodon frossardi,species,345642.0,,Schoch and Milner,2014.0,57795.0,"Millery, near Autun",,,based on nearby landmark,6,small collection,"Coordinates are for Millery, Saone et Loire, near Autun, France",gplates,305,mid,18.14,1.97,scotese,305,mid,16.6,-0.05,seton,not computable using this model,,,,FR,,group of beds,Lower Permian,,not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,M. Pellat,,,,phosphatic,,,,,,
1338315,body,,skulls,,,Amphibia,Temnospondyli,Eryopidae,Actinodon,"brackish,freshwater,terrestrial",amphibious,carnivore,MNHN,180674,Autunian,,-,298.9,283.5,291.2,15.4,4.382756,47.025478,"MNHN Aut 469 (juvenile skull, 5cm long)",FR,Saone et Laoire,,Muse,,,,Actinodon frossardi,,species,345642.0,Actinodon n. sp. brevis,species,345643.0,subjective synonym of,Schoch and Milner,2014.0,57795.0,Dracy Saint Loup,,"Muse, north of Autun",based on nearby landmark,6,small collection,"Coordinates based on Muse, 10km NE of Autun, Departement Saone et Loire, France",gplates,305,mid,18.2,2.01,scotese,305,mid,16.66,0.0,seton,not computable using this model,,,,FR,,,"""Autunian"", Lower Permian - Schoch & Milner, 2014",,not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,,,,,,
1338314,body,,skulls,,,Amphibia,Temnospondyli,Eryopidae,Actinodon,"brackish,freshwater,terrestrial",amphibious,carnivore,MNHN,180674,Autunian,,-,298.9,283.5,291.2,15.4,4.382756,47.025478,"MNHN 1908.20.6 (Holotype: skull, 12cm long, in ventral view with mandible)",FR,Saone et Laoire,,Muse,,,,Actinodon frossardi,,species,345642.0,n. gen. Actinodon n. sp. frossardi,species,345642.0,,Schoch and Milner,2014.0,57795.0,Dracy Saint Loup,,"Muse, north of Autun",based on nearby landmark,6,small collection,"Coordinates based on Muse, 10km NE of Autun, Departement Saone et Loire, France",gplates,305,mid,18.2,2.01,scotese,305,mid,16.66,0.0,seton,not computable using this model,,,,FR,,,"""Autunian"", Lower Permian - Schoch & Milner, 2014",,not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,,,,,,
1338240,body,,,,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Pleuronoura,"brackish,freshwater,terrestrial",amphibious,carnivore,,176500,Autunian,,-,298.9,283.5,291.2,15.4,4.279287,46.99017,Location of type specimen unknown,FR,Saone et Loire,,Millery Series,,,,Pleuronoura,,genus,345543.0,Pleuronoura pellati,species,345544.0,nomen dubium,Schoch and Milner,2014.0,57795.0,"Millery, near Autun",,,based on nearby landmark,6,small collection,"Coordinates are for Millery, Saone et Loire, near Autun, France",gplates,305,mid,18.14,1.97,scotese,305,mid,16.6,-0.05,seton,not computable using this model,,,,FR,,group of beds,Lower Permian,,not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,M. Pellat,,,,phosphatic,,,,,,
1338234,mold/impression,,,,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Porierpeton,"brackish,freshwater,terrestrial",amphibious,carnivore,,154179,Stephanian B,,Gzhelian,301.4,300.9,301.15,0.5,13.675,50.209999,NMP 1015 (Lectotype: limb bone),CZ,RakovnÃ­k,,SlanÃ½,,Kounov,,Porierpeton,,genus,345541.0,Porierpeton nitens,species,345542.0,nomen dubium,Schoch and Milner,2014.0,57795.0,"Kounov, Rakovnik District",,Kounova,based on nearby landmark,2,outcrop,"""Kounova lies some 35 miles northwest of Prague in the Rakonitz coal basin"" Romer (1945)\r\nPreviously in area known as Bohemia",gplates,305,mid,21.74,4.64,scotese,305,mid,21.29,2.66,seton,not computable using this model,,,,CZ,,group of beds,Overlying tuff constrained to an age younger than 301.5 +/- 0.11 Ma by OpluÅ¡til et al. (2016).,,"""siliciclastic""",,lithified,,terrestrial indet.,rift,macrofossils,,,,,,,taxonomic,,,,"Repository: National Museum, Prague (CGH)",,phosphatic,,,,,,
1338223,body,,,,,Amphibia,Temnospondyli,Eryopidae,Osteophorus,"brackish,freshwater,terrestrial",amphibious,carnivore,,180649,Rotliegendes,,-,283.5,259.51,271.505,23.99,15.590299,51.111996,"ZPUW 57A (Holotype: a surviving cast of the lost holotype and only known specimen, a natural mold of a skull (length 20.7cm) in dorsal aspect)",PL,,,,,,,Osteophorus roemeri,,species,345534.0,n. gen. Osteophorus n. sp. roemeri,species,345534.0,,Meyer,1856.0,59955.0,"Mala Dolna Weiz, near LwÃ³wek lski",,formerly Klien-Neunforf,based on nearby landmark,6,small collection,"Coorindates are for the centre of LwÃ³wek lski, a town in the Lower Silesian Voivodeship in Poland.",gplates,305,mid,26.35,11.26,scotese,305,mid,27.53,13.06,seton,not computable using this model,,,,PL,,,Lower Rotliegend; ?Lower Permian,,not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,,,,,,
1338213,body,,,1.0,individuals,Amphibia,Temnospondyli,Eryopidae,Clamorosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,PIN,84719,Ufimian,,Kungurian,276.5,273.01,274.755,3.49,60.049999,66.033333,"PIN 3950/1 (Holotype: skull, 14cm long)",RU,Komi,Inta,Inta,,,Clamorosaurus borealis,Clamorosaurus borealis,,species,345532.0,Clamorosaurus n. sp. borealis,species,345532.0,,Gubin,1983.0,59952.0,"Inta city, PIN 570, PIN 3950",,,stated in text,minutes,outcrop,Pechora Basin; Lat Long is from Olson (1957),gplates,302,mid,38.06,35.78,scotese,301,mid,40.0,37.35,seton,not computable using this model,,,,RU,,group of beds,"Locality biostratigraphically lies within the Inta Assemblage Zone of the Eryopoidean Superassemblage (Ivakhnenko, 1990; Modesto & Rybczynski, 2000; Golubev 2000), which is Ufimian in age.","""Carbonaceous shales and channel sandstone"" (Olson, 1957)","""shale""",,,carbonaceous,terrestrial indet.,foreland basin,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,,,,,,
1338212,body,,,,,Amphibia,Temnospondyli,Eryopidae,Clamorosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,PIN,180643,Ufimian,,Kungurian,276.5,273.01,274.755,3.49,57.185925,65.130753,"PIN 1582/1 (Holotype: nearly complete skul, 16cm long) and PIN 1582/4-7 (fragmentary skill material)",RU,Komi Republic,,,,,Clamorosaurus borealis,Clamorosaurus nocturnus,,species,345531.0,n. gen. Clamorosaurus n. sp. nocturnus,species,345531.0,,Gubin,1983.0,59952.0,"Pechora River, PIN 1582",,,estimated from map,6,small collection,"Coordinates based on the location of Pechora, a town in the Komi Republic, Russia, located on the Pechora River, west of and near the northern Ural Mountains. ",gplates,302,mid,37.99,34.29,scotese,301,mid,39.87,35.86,seton,not computable using this model,,,,RU,,bed,"Pechora Basin, Inta Assemblage, Eryopoidean Superassemblage (Golubev 2000)",,not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,,,,,,
1338190,"body,cast,mold/impression",good,,,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Capetus,"brackish,freshwater,terrestrial",amphibious,carnivore,,84835,Westphalian D,,-,309.8,307.4,308.6,2.4,13.207222,49.713055,BMNH R.4706 (Holotype: posterior skull table),CZ,Pilsen,Pilsen-North,Kladno,,NÃ½Åany,,Capetus palustris,,species,256954.0,n. gen. Capetus n. sp. palustris,species,256954.0,,Schoch and Milner,2000.0,28828.0,Nyrany,,"Humboldt Mine, Krimice Mine, NÃ½any, Nyrschan, NÃ¼rschan",based on nearby landmark,seconds,local area,"Lat Long is for the town of NÃ½any, WSW of Pilsen, Czech Republic",gplates,305,mid,19.67,0.55,scotese,305,mid,20.49,0.72,seton,not computable using this model,,,,CZ,,group of beds,,,coal,,,,lacustrine indet.,foreland basin,macrofossils,,,,,,,taxonomic,survey of museum collection,,,"GH = NÃ¡rodni Muzeum (National Musuem), Prague, Czech Republic\r\nMP = Natural History Musuem, Pilzen\r\nNMW = Naturhistorisches Museum Wien (Natural Histroy Museum, Vienna), Austria",,phosphatic,,,,,,
1338188,body,,,,,Amphibia,Temnospondyli,Zatracheidae,Dasyceps,"brackish,freshwater,terrestrial",amphibious,carnivore,,180634,Autunian,,-,298.9,283.5,291.2,15.4,13.413596,49.897076,"MM Ge.29609, a small skull on a slab of limestone",CZ,Plze Region,Plze-North District,Middle Letovice,,,,Dasyceps,,genus,37054.0,Dasyceps sp.,genus,37054.0,,Milner et al.,2007.0,59939.0,Obora,,1km North of Obora,based on nearby landmark,6,small collection,"Coordinates are for 1km north of Obora, a village and municipality in Plze-North District in the Plze Region of the Czech Republic. Location lies ""3 km south of Skalice nad Svitavou, Moravia.""",gplates,305,mid,23.27,6.31,scotese,305,mid,21.59,4.45,seton,not computable using this model,,,,CZ,,,"""Middle Letovice Formation, Autunian, Lower Permian""",,not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,,,,,,
1338187,body,good,,,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Macrerpeton,"brackish,freshwater,terrestrial",amphibious,carnivore,"AMNH,CM,MCZ,USNM",85292,Westphalian D,,-,309.8,307.4,308.6,2.4,-80.673332,40.56778,AMNH 6834 (Newberry 9022) (Holotype: nearly complete skill (length 11.5cm) now represented by acid-etched molds of part and counterpart),US,Ohio,Jefferson,,Allegheny,Upper Freeport Coal,,Macrerpeton huxleyi,,species,192958.0,Tuditanus n. sp. huxleyi,species,192958.0,recombined as,Gubin,1980.0,59938.0,Linton,,Diamond Coal Mine,estimated from map,seconds,outcrop,"""located at the mouth of Yellow Creek in northeastern Saline Township, Jefferson County"" (Hook & Baird, 1988)",gplates,101,mid,-18.48,-8.09,scotese,101,mid,-17.71,-7.33,seton,not computable using this model,,,,US,,group of beds,"""immediately [... below ...] a locally thick bituminous seam, known as the Upper Freeport coal, at the top of the Allegheny Group. The Upper Freeport is the No. 6 coal of Newberry (1871, 1874, 1878) or the No. 7 coal of subsequent Ohio Geological Survey reports, and is taken to be correlative to the top of the Westphalian D Series of Europe"" (Hook & Baird, 1988)","""Linton fossils are preserved in a thin deposit of cannel coal [...]. The cannel is composed primarily of miospores and other resistant plant parts dispersed within a very fine-grained, pyrite-rich matrix of organic detritus"" which are enclosed in an ""erosive-based, fining-upward, sandstone-dominated\r\nsediment body"" (Hook & Baird, 1988)",coal,,,,mire/swamp,foreland basin,macrofossils,,,,,autochthonous,"""Although the predominance of aquatic taxa has led workers to conclude that amphibious to terrestrial forms are 'wash ins' or 'erratics', the petrography of the cannel and the high degree of completeness exhibited by most specimens demonstrate that animal remains were derived from the oxbow lake and its immediate surroundings. Post-mortem transport was essentially downward into the sapropelic milieu, not laterally across an environmental transect that supposedly ranged from 'upland' and 'open water' to 'swamp lake', as depicted by Milner (1980) and suggested by others. In short, the assemblage is autochthonous at the scale of the oxbow lake and its margins. [...]\r\nfor all intents and purposes, the Linton vertebrate assemblage is a biocoenose, and recognition of discrete terrestrial and lacustrine communities within it is largely artificial."" (Hook & Baird, 1988)",taxonomic,"selective quarrying,survey of museum collection","J. S. Newberry, T. Stock, S. Houston, D. Baird, D. Mullenaux, among others",,"""thousands of fossils [...] obtained within the mine, from the mine dump, and from local collectors"" (Hook & Baird, 1988)\r\nPU = Princeton University Fossil Vertebrate Collection (should now be reposited in the Yale Peabody Museum)","Anderson (2002) states that AMNH 6966 (incl. 6886) is the ""only known specimen"" of Phlegethontia linearis. Hence, all other specimens referred to P. linearis by earlier authors (i.e. Lund, 1978) are listed as P. longissima in the taxonomic list. However, since some of this material is neither listed as Phlegethontia nor even mentioned at all by Anderson (2002), there is no information on the current whereabouts and taxonomic status of these specimens (marked by an asterisk in the taxonomic list).",phosphatic,,,,,,
1338186,body,,,1.0,individuals,Amphibia,Temnospondyli,Dissorophidae,Iratusaurus,"brackish,freshwater,terrestrial",ground dwelling,carnivore,PIN,27341,Urzhumian,,Wordian,266.9,264.28,265.59,2.62,54.125,54.108334,PIN 164/300 (Holotype: partial skull),RU,Bashkortostan,Belebei,Belebei,,,Estemmenosuchus uralensis,Iratusaurus vorax,,species,345487.0,n. gen. Iratusaurus n. sp. vorax,species,345487.0,,Gubin,1980.0,59938.0,"Belebei, PIN 164",,Belebey Suite,based on nearby landmark,seconds,outcrop,"lat longs and altitude are for the town of Belebey in Bashkortostan, Russia.",gplates,302,mid,51.51,30.26,scotese,301,mid,47.93,28.95,seton,not computable using this model,,,,RU,,group of beds,Ocher Subassemblage of the Ocher Assemblage; the terminal part of the Late Kazanian to the early part of the Early Tatarian (=Urzhumian) (Golubev 2000); Urzhumian according to Benton (2012; Geology),,sandstone,,,,fluvial indet.,foreland basin,macrofossils,,,,,,,taxonomic,"field collection,survey of museum collection",,"1937, 1938",,"The catalogue number of the type of Belebey vegrandis is given as PIN 104/50 in the primary reference of the present collection. Reisz et al. (2007, Zool. J. Linn. Soc. 151(1)) give the same catalogue number for the type specimen of B. vegrandis. Ivakhnenko (2008), however, gives PIN 164/... as catalogue number for the material of B. vegrandis from the present collection. Additionally, Tverdokhlebova & Ivakhnenko (1984) also give the catalogue numbers of the nyceroleterid material as PIN 164/... Thus, PIN 164/... here is considered the correct catalogue number for the material from near the town of Belebei.",phosphatic,,,,,,
1338184,body,good,,,,Amphibia,Temnospondyli,Dissorophidae,Stegops,"brackish,freshwater,terrestrial",ground dwelling,carnivore,"AMNH,CM,MCZ,USNM",85292,Westphalian D,,-,309.8,307.4,308.6,2.4,-80.673332,40.56778,AMNH 6952,US,Ohio,Jefferson,,Allegheny,Upper Freeport Coal,,Stegops newberryi,,species,345484.0,Erpetosaurus n. sp. tuberculatus,species,345486.0,subjective synonym of,Schoch and Milner,2014.0,57795.0,Linton,,Diamond Coal Mine,estimated from map,seconds,outcrop,"""located at the mouth of Yellow Creek in northeastern Saline Township, Jefferson County"" (Hook & Baird, 1988)",gplates,101,mid,-18.48,-8.09,scotese,101,mid,-17.71,-7.33,seton,not computable using this model,,,,US,,group of beds,"""immediately [... below ...] a locally thick bituminous seam, known as the Upper Freeport coal, at the top of the Allegheny Group. The Upper Freeport is the No. 6 coal of Newberry (1871, 1874, 1878) or the No. 7 coal of subsequent Ohio Geological Survey reports, and is taken to be correlative to the top of the Westphalian D Series of Europe"" (Hook & Baird, 1988)","""Linton fossils are preserved in a thin deposit of cannel coal [...]. The cannel is composed primarily of miospores and other resistant plant parts dispersed within a very fine-grained, pyrite-rich matrix of organic detritus"" which are enclosed in an ""erosive-based, fining-upward, sandstone-dominated\r\nsediment body"" (Hook & Baird, 1988)",coal,,,,mire/swamp,foreland basin,macrofossils,,,,,autochthonous,"""Although the predominance of aquatic taxa has led workers to conclude that amphibious to terrestrial forms are 'wash ins' or 'erratics', the petrography of the cannel and the high degree of completeness exhibited by most specimens demonstrate that animal remains were derived from the oxbow lake and its immediate surroundings. Post-mortem transport was essentially downward into the sapropelic milieu, not laterally across an environmental transect that supposedly ranged from 'upland' and 'open water' to 'swamp lake', as depicted by Milner (1980) and suggested by others. In short, the assemblage is autochthonous at the scale of the oxbow lake and its margins. [...]\r\nfor all intents and purposes, the Linton vertebrate assemblage is a biocoenose, and recognition of discrete terrestrial and lacustrine communities within it is largely artificial."" (Hook & Baird, 1988)",taxonomic,"selective quarrying,survey of museum collection","J. S. Newberry, T. Stock, S. Houston, D. Baird, D. Mullenaux, among others",,"""thousands of fossils [...] obtained within the mine, from the mine dump, and from local collectors"" (Hook & Baird, 1988)\r\nPU = Princeton University Fossil Vertebrate Collection (should now be reposited in the Yale Peabody Museum)","Anderson (2002) states that AMNH 6966 (incl. 6886) is the ""only known specimen"" of Phlegethontia linearis. Hence, all other specimens referred to P. linearis by earlier authors (i.e. Lund, 1978) are listed as P. longissima in the taxonomic list. However, since some of this material is neither listed as Phlegethontia nor even mentioned at all by Anderson (2002), there is no information on the current whereabouts and taxonomic status of these specimens (marked by an asterisk in the taxonomic list).",phosphatic,,,,,,
1338183,body,good,,,,Amphibia,Temnospondyli,Dissorophidae,Stegops,"brackish,freshwater,terrestrial",ground dwelling,carnivore,"AMNH,CM,MCZ,USNM",85292,Westphalian D,,-,309.8,307.4,308.6,2.4,-80.673332,40.56778,AMNH 2559/FMNH UR16 (Holotype: counterparts),US,Ohio,Jefferson,,Allegheny,Upper Freeport Coal,,Stegops newberryi,,species,345484.0,Ceraterpeton n. sp. divaricatum,species,192965.0,subjective synonym of,Schoch and Milner,2014.0,57795.0,Linton,,Diamond Coal Mine,estimated from map,seconds,outcrop,"""located at the mouth of Yellow Creek in northeastern Saline Township, Jefferson County"" (Hook & Baird, 1988)",gplates,101,mid,-18.48,-8.09,scotese,101,mid,-17.71,-7.33,seton,not computable using this model,,,,US,,group of beds,"""immediately [... below ...] a locally thick bituminous seam, known as the Upper Freeport coal, at the top of the Allegheny Group. The Upper Freeport is the No. 6 coal of Newberry (1871, 1874, 1878) or the No. 7 coal of subsequent Ohio Geological Survey reports, and is taken to be correlative to the top of the Westphalian D Series of Europe"" (Hook & Baird, 1988)","""Linton fossils are preserved in a thin deposit of cannel coal [...]. The cannel is composed primarily of miospores and other resistant plant parts dispersed within a very fine-grained, pyrite-rich matrix of organic detritus"" which are enclosed in an ""erosive-based, fining-upward, sandstone-dominated\r\nsediment body"" (Hook & Baird, 1988)",coal,,,,mire/swamp,foreland basin,macrofossils,,,,,autochthonous,"""Although the predominance of aquatic taxa has led workers to conclude that amphibious to terrestrial forms are 'wash ins' or 'erratics', the petrography of the cannel and the high degree of completeness exhibited by most specimens demonstrate that animal remains were derived from the oxbow lake and its immediate surroundings. Post-mortem transport was essentially downward into the sapropelic milieu, not laterally across an environmental transect that supposedly ranged from 'upland' and 'open water' to 'swamp lake', as depicted by Milner (1980) and suggested by others. In short, the assemblage is autochthonous at the scale of the oxbow lake and its margins. [...]\r\nfor all intents and purposes, the Linton vertebrate assemblage is a biocoenose, and recognition of discrete terrestrial and lacustrine communities within it is largely artificial."" (Hook & Baird, 1988)",taxonomic,"selective quarrying,survey of museum collection","J. S. Newberry, T. Stock, S. Houston, D. Baird, D. Mullenaux, among others",,"""thousands of fossils [...] obtained within the mine, from the mine dump, and from local collectors"" (Hook & Baird, 1988)\r\nPU = Princeton University Fossil Vertebrate Collection (should now be reposited in the Yale Peabody Museum)","Anderson (2002) states that AMNH 6966 (incl. 6886) is the ""only known specimen"" of Phlegethontia linearis. Hence, all other specimens referred to P. linearis by earlier authors (i.e. Lund, 1978) are listed as P. longissima in the taxonomic list. However, since some of this material is neither listed as Phlegethontia nor even mentioned at all by Anderson (2002), there is no information on the current whereabouts and taxonomic status of these specimens (marked by an asterisk in the taxonomic list).",phosphatic,,,,,,
1338182,body,,,1.0,individuals,Amphibia,Temnospondyli,Dissorophidae,Platyhystrix,"brackish,freshwater,terrestrial",ground dwelling,carnivore,,180633,Virgilian,,Gzhelian,303.7,298.9,301.3,4.8,-95.41037,39.817047,,US,Kansas,Brown,Bern Limestone,Wabaunsee,Soldier Creek Shale,,Platyhystrix,,genus,37034.0,cf. Platyhystrix sp.,genus,37034.0,,Foreman and Martin,1989.0,59937.0,"Robinson Locality, Brown County",,Bern Limestone,based on nearby landmark,6,small collection,"Coordinates are for the centre of Robinson, a city in Brown County, Kansas, United States. Locality lies just northeast of the town of Robinson.",gplates,101,mid,-25.51,1.2,scotese,101,mid,-26.78,-1.13,seton,not computable using this model,,,,US,,group of beds,Bern Limestone,The fossiliferous horizon is composed almost entirely of densely packed stromatolites that lie between two shales.,"""shale""",,,,lagoonal,,macrofossils,,,,,,,taxonomic,,,,,"Like the Middle Virgilian Hamilton fauna, the Robinson fauna is dominated by aquatic taxa, with only a few specimens of terrestrial forms present.",phosphatic,,,,,,
