occurrence_no,pres_mode,preservation_quality,common_body_parts,abund_value,abund_unit,class,order,family,genus,taxon_environment,life_habit,diet,museum,collection_no,early_interval,late_interval,time_bins,age_max,age_min,age_median,age_uncer_range,lng,lat,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_name,accepted_attr,accepted_rank,accepted_no,identified_name,identified_rank,identified_no,difference,ref_author,ref_pubyr,reference_no,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,cc.1,protected,stratscale,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,environment,tectonic_setting,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,spatial_resolution,preservation_comments,collection_type,collection_methods,collectors,collection_dates,collection_comments,taxonomy_comments,composition,species,municipality,outcrop_details,outcrop_overview,source,ref
1417073,body,,,NA,,Amphibia,Temnospondyli,Tupilakosauridae,Tupilakosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196045,Induan,,Induan,251.902,251.2,251.551,0.702,52.193333,52.668056,,RU,Orenburg,,Kopanskaya,,,,Tupilakosaurus,NA,genus,36321,Tupilakosaurus sp.,genus,36321,,Tverdokhlebov et al.,2003,28844,Perevoznikovo (Locality 162),NA,,based on nearby landmark,seconds,small collection,"""Orenburg Region, 1.8 km SW of Perevoznikovo village, left slope of the Elshanka valley."" (Tverdokhlebov et al. 2003)",gplates,302,mid,57.89,38.57,scotese,301,mid,44.76,30.94,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,prodelta,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417071,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Wetlugasaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196044,Induan,,Induan,251.902,251.2,251.551,0.702,52.014999,52.625278,Scapulocoracoid,RU,Orenburg,,Kopanskaya,,,,Wetlugasaurus,NA,genus,37106,Wetlugasaurus sp.,genus,37106,,Tverdokhlebov et al.,2003,28844,Surykovo II (Locality 161),NA,,based on nearby landmark,seconds,small collection,"""Orenburg Region, 1.3 km west of Surikovo village, a quarry on the left bank of the Elshanka River"" (Tverdokhlebov et al. 2003)",gplates,302,mid,57.79,38.48,scotese,301,mid,44.7,30.83,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,deltaic indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417064,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Parotosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196040,Spathian,,Olenekian,248.9,247.2,248.05,1.7,51.608334,52.34222,Fragment of lower jaw,RU,Orenburg,,Petropavlovskaya,,,,Parotosuchus,NA,genus,37100,Parotosaurus sp.,genus,138608,subjective synonym of,Tverdokhlebov et al.,2003,28844,Shabolovka (Locality 143),NA,,based on nearby landmark,seconds,small collection,"""Orenburg Region, 2.5 km east of Shabolovka village, Tananyk River (left tributary of the Buzuluk River)."" (Tverdokhlebov et al. 2003)",gplates,302,mid,57.71,39.37,scotese,301,mid,43.19,31.43,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,deltaic indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417063,body,,,NA,,Amphibia,Temnospondyli,Trematosauridae,Trematosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196040,Spathian,,Olenekian,248.9,247.2,248.05,1.7,51.608334,52.34222,"Fragments of supraoccipital, lower jaw",RU,Orenburg,,Petropavlovskaya,,,,Trematosaurus,NA,genus,37138,Trematosaurus sp.,genus,37138,,Tverdokhlebov et al.,2003,28844,Shabolovka (Locality 143),NA,,based on nearby landmark,seconds,small collection,"""Orenburg Region, 2.5 km east of Shabolovka village, Tananyk River (left tributary of the Buzuluk River)."" (Tverdokhlebov et al. 2003)",gplates,302,mid,57.71,39.37,scotese,301,mid,43.19,31.43,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,deltaic indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417061,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Benthosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196039,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.22361,52.491669,Skull fragment,RU,Orenburg,,Staritskaya,,,,Benthosuchus,NA,genus,37087,Benthosuchus ? sp.,genus,37087,,Tverdokhlebov et al.,2003,28844,Shulaevka II (Locality 141),NA,,based on nearby landmark,seconds,small collection,"""Orenburg Region, 2.9 km west of Shulaevka village, Gurev ravine, (right tributary of the Buzuluk River)."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.04,39.68,scotese,301,mid,43.38,31.8,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417059,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Benthosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196038,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.11861,52.352779,Skull fragment,RU,Orenburg,,Staritskaya,,,,Benthosuchus sushkini,NA,species,263301,Benthosuchus sushkini,species,269989,,Tverdokhlebov et al.,2003,28844,Prokaevka (Locality 138),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 5.2 km south of Prokaevka village, Panik stream, right bank of the Buzuluk River (Shishkin et al., 1995; Ivakhnenko et al., 1997)."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.06,39.53,scotese,301,mid,43.44,31.65,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,deltaic indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417058,body,,,NA,,Amphibia,Temnospondyli,Trematosauridae,Trematotegmen,"brackish,freshwater,terrestrial",amphibious,carnivore,,196038,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.11861,52.352779,"Skull, lower jaws",RU,Orenburg,,Staritskaya,,,,Trematotegmen otschevi,NA,species,375429,Trematotegmen otschevi,species,375429,,Tverdokhlebov et al.,2003,28844,Prokaevka (Locality 138),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 5.2 km south of Prokaevka village, Panik stream, right bank of the Buzuluk River (Shishkin et al., 1995; Ivakhnenko et al., 1997)."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.06,39.53,scotese,301,mid,43.44,31.65,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,deltaic indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417056,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Thoosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196037,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.01889,52.230278,"Fragments of palatine, lower jaw",RU,Orenburg,,Staritskaya,,,,Thoosuchus,NA,genus,37092,Thoosuchus ? sp.,genus,37092,,Tverdokhlebov et al.,2003,28844,Fedorovka (Locality 137),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 0.4 km north of Fedorovka village, right bank of the Buzuluk River"" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.07,39.4,scotese,301,mid,43.49,31.52,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417055,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Benthosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196037,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.01889,52.230278,Tabular,RU,Orenburg,,Staritskaya,,,,Benthosuchus,NA,genus,37087,Benthosuchus ? sp.,genus,37087,,Tverdokhlebov et al.,2003,28844,Fedorovka (Locality 137),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 0.4 km north of Fedorovka village, right bank of the Buzuluk River"" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.07,39.4,scotese,301,mid,43.49,31.52,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417053,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Thoosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196036,Olenekian,,Olenekian,251.2,247.2,249.2,4,52.22028,52.24139,Fragment of lower jaw and pterygoid,RU,Orenburg,,Kzylsaiskaya,,,,Thoosuchus,NA,genus,37092,Thoosuchus sp.,genus,37092,,Tverdokhlebov et al.,2003,28844,Vasil'evka III (Locality 136),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 1.4 km north of Vasil’evka village, upper reaches of the Berezoviy ravine (right tributary of the Buzuluk River)."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.2,39.47,scotese,301,mid,43.59,31.62,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417050,body,,,NA,,Amphibia,Temnospondyli,Tupilakosauridae,Tupilakosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196034,Induan,,Induan,251.902,251.2,251.551,0.702,52.327778,52.795834,Vertebrae,RU,Orenburg,,Kopanskaya,,,,Tupilakosaurus,NA,genus,36321,Tupilakosaurus sp.,genus,36321,,Tverdokhlebov et al.,2003,28844,Buzulukskoe (Locality 126),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 2.5 km east from the bridge across the Samara River, on the right slope of the Samara valley, opposite Buzuluk town"" (Tverdokhlebov et al. 2003)",gplates,302,mid,57.9,38.72,scotese,301,mid,44.73,31.09,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,conglomeratic,prodelta,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417048,body,,,NA,,Amphibia,Temnospondyli,Tupilakosauridae,Tupilakosaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196033,Induan,,Induan,251.902,251.2,251.551,0.702,52.440277,52.785278,Vertebrae,RU,Orenburg,,Kopanskaya,,,,Tupilakosaurus,NA,genus,36321,Tupilakosaurus sp.,genus,36321,,Tverdokhlebov et al.,2003,28844,Staraya Terlovka (Locality 125),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 1 km SE of Staraya Terlovka village, right bank the Samara River."" (Tverdokhlebov et al. 2003)",gplates,302,mid,57.98,38.74,scotese,301,mid,44.79,31.13,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,prodelta,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417043,body,,,NA,,Amphibia,Temnospondyli,Benthosuchidae,Angusaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196031,Spathian,,Olenekian,248.9,247.2,248.05,1.7,52.303612,52.384445,Skull,RU,Orenburg,,Gostevskaya,,,,Angusaurus dentatus,NA,species,375379,Angusaurus dentatus,species,375379,,Tverdokhlebov et al.,2003,28844,Logachevka (Locality 121),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 1.6 km NW of Logachevka village, left tributary of the Bolshaya Pogromka River."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.16,39.62,scotese,301,mid,43.51,31.76,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,deltaic indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417041,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Wetlugasaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196030,Olenekian,,Olenekian,251.2,247.2,249.2,4,52.332779,52.351112,Exoccipital fragment,RU,Orenburg,,Kzylsaiskaya,,,,Wetlugasaurus,NA,genus,37106,Wetlugasaurus ? sp.,genus,37106,,Tverdokhlebov et al.,2003,28844,Pavelev Yar (Locality 120),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 2.6 km south of Logachevka village, Pavelev Yar ravine, right bank of the Bolshaya Pogromka River."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.2,39.6,scotese,301,mid,43.55,31.74,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,deltaic indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1417039,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Thoosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,196029,Olenekian,,Olenekian,251.2,247.2,249.2,4,52.411667,52.359722,Lower jaw,RU,Orenburg,,Kzylsaiskaya,,,,Thoosuchus,NA,genus,37092,Thoosuchus sp.,genus,37092,,Tverdokhlebov et al.,2003,28844,Malaya Pogromka I (Locality 117),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 6.4 km SW of Kazanka village, left slope of the Malaya Pogromka valley"" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.25,39.63,scotese,301,mid,43.58,31.78,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1416572,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Benthosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,195880,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.42889,52.375,"Skull, tabular fragment",RU,Orenburg,,Staritskaya,,,,Benthosuchus,NA,genus,37087,Benthosuchus sp.,genus,37087,,Tverdokhlebov et al.,2003,28844,Khokhlachiy (Locality 116),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 3.9 km south of Kazanka village, right bank of the Malaya Pogromka River"" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.26,39.65,scotese,301,mid,43.58,31.8,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1416570,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Thoosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,195879,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.44611,52.381111,Palatine fragment,RU,Orenburg,,Staritskaya,,,,Thoosuchus,NA,genus,37092,Thoosuchus ? sp.,genus,37092,,Tverdokhlebov et al.,2003,28844,Devyatichniy (Locality 115),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 3.7 km SE of Kazanka village, Devyatichniy ravine (right tributary of the Malaya Pogromka River)."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.26,39.66,scotese,301,mid,43.58,31.81,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1416568,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Benthosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,195878,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.456112,52.395,Lower jaw,RU,Orenburg,,Staritskaya,,,,Benthosuchus,NA,genus,37087,Benthosuchus ? sp.,genus,37087,,Tverdokhlebov et al.,2003,28844,Kazanka II (Locality 114),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 2 km SE of Kazanka village, right bank of the Malaya Pogromka River."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.26,39.67,scotese,301,mid,43.58,31.83,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1416567,body,,,NA,,Amphibia,Temnospondyli,Benthosuchidae,Syrtosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,195877,Induan,,Induan,251.902,251.2,251.551,0.702,52.46389,52.439999,Lower jaw fragment,RU,Orenburg,,Kopanskaya,,,,Syrtosuchus samarensis,NA,species,375426,Syrtosuchus cf. samarensis,species,375426,,Novikov,2016,66659,Volchiy II (Locality 111),NA,,estimated from map,seconds,outcrop,"""Orenburg Region, 2.4 km NE of Kazanka village, Volchiy ravine (right tributary of the Malaya Pogromka River)."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.21,38.45,scotese,301,mid,45.08,30.88,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,deltaic indet.,,macrofossils,,,,,,,taxonomic,,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1416565,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Benthosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,PIN,195876,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.656944,52.387501,Skull fragment,RU,Orenburg,Totskoe,Staritskaya,,,,Benthosuchus,NA,genus,37087,Benthosuchus ? sp.,genus,37087,,Tverdokhlebov et al.,2003,28844,Repniy (Locality 107),NA,,estimated from map,seconds,small collection,"""Orenburg Region, 3 km west NW of Markovka village, Repniy ravine (left tributary of the Soroka River)."" (Tverdokhlebov et al., 2003).",gplates,302,mid,58.4,39.73,scotese,301,mid,43.69,31.91,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,survey of museum collection,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1416564,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Thoosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,PIN,195875,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.68528,52.400555,Skull fragment,RU,Orenburg,Totskoe,Staritskaya,,,,Thoosuchus,NA,genus,37092,Thoosuchus ? sp.,genus,37092,,Tverdokhlebov et al.,2003,28844,Pavlovka-Antonovka II (Locality 106),NA,,estimated from map,seconds,small collection,"""Orenburg Region, 1.5 km SSW of Pavlovka-Antonovka village, left bank of the Soroka River."" (Tverdokhlebov et al., 2003).",gplates,302,mid,58.42,39.75,scotese,301,mid,43.69,31.93,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,survey of museum collection,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1416561,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Benthosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,PIN,195874,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.690834,52.369999,Skull,RU,Orenburg,Totskoe,Staritskaya,,,,Benthosuchus sushkini,NA,species,263301,Benthosuchus sushkini,species,269989,,Tverdokhlebov et al.,2003,28844,Kamenny II (upper) (Locality 104),NA,Stratum 3,estimated from map,seconds,small collection,"""Orenburg Region, 0.6 km east of Markovka village, Kamenny ravine (right tributary of Soroka River)."" (Tverdokhlebov et al., 2003).",gplates,302,mid,58.44,39.72,scotese,301,mid,43.72,31.91,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,survey of museum collection,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1416558,body,,,NA,,Amphibia,Temnospondyli,Benthosuchidae,Syrtosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,PIN,195873,Induan,,Induan,251.902,251.2,251.551,0.702,52.690834,52.369999,"Partial skull (Layer 1, lower)",RU,Orenburg,Totskoe,Kopanskaya,,,,Syrtosuchus samarensis,NA,species,375426,Syrtosuchus samarensis,species,375426,,Novikov,2016,66659,Kamenny II (lower) (Locality 104),NA,Strata 1 & 2,estimated from map,seconds,small collection,"""Orenburg Region, 0.6 km east of Markovka village, Kamenny ravine (right tributary of Soroka River)."" (Tverdokhlebov et al., 2003).",gplates,302,mid,58.41,38.46,scotese,301,mid,45.26,30.93,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,survey of museum collection,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1416532,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Wetlugasaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,PIN,195872,Olenekian,,Olenekian,251.2,247.2,249.2,4,52.714722,52.362221,Scapulocoracoid,RU,Orenburg,Totskoe,Kzylsaiskaya,,,,Wetlugasaurus,NA,genus,37106,Wetlugasaurus sp.,genus,37106,,Tverdokhlebov et al.,2003,28844,Kamenny I (Locality 103),NA,,estimated from map,seconds,small collection,"""Orenburg Region, 2.5 km east of Markovka village, Kamenny ravine (right tributary of Soroka River)."" (Tverdokhlebov et al., 2003).",gplates,302,mid,58.46,39.72,scotese,301,mid,43.74,31.92,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,survey of museum collection,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1416531,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Thoosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,PIN,195872,Olenekian,,Olenekian,251.2,247.2,249.2,4,52.714722,52.362221,Skull,RU,Orenburg,Totskoe,Kzylsaiskaya,,,,Thoosuchus,NA,genus,37092,Thoosuchus sp.,genus,37092,,Tverdokhlebov et al.,2003,28844,Kamenny I (Locality 103),NA,,estimated from map,seconds,small collection,"""Orenburg Region, 2.5 km east of Markovka village, Kamenny ravine (right tributary of Soroka River)."" (Tverdokhlebov et al., 2003).",gplates,302,mid,58.46,39.72,scotese,301,mid,43.74,31.92,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,survey of museum collection,,,,,phosphatic,NA,NA,NA,NA,NA,NA
1416529,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Benthosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,195871,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.952221,52.389999,Two lower jaws,RU,Orenburg,,Staritskaya,,,,Benthosuchus,NA,genus,37087,Benthosuchus sp.,genus,37087,,Tverdokhlebov et al.,2003,28844,Rodnikoviy Dol (upper) (Locality 98),NA,Stratum 3,based on nearby landmark,seconds,outcrop,"""Orenburg Region, 3.5 km north of Fedorovka village, Rodnikoviy Dol ravine (right tributary of the Sorochka River)."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.61,39.82,scotese,301,mid,43.83,32.04,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,,,,Storage: Sararove State University,,phosphatic,NA,NA,NA,NA,NA,NA
1416528,body,,,NA,,Amphibia,Temnospondyli,Benthosuchidae,Syrtosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,195870,Induan,,Induan,251.902,251.2,251.551,0.702,52.952221,52.389999,"Lower jaw (Layer 2, higher)",RU,Orenburg,,Kopanskaya,,,,Syrtosuchus samarensis,NA,species,375426,Syrtosuchus samarensis,species,375426,,Novikov,2016,66659,Rodnikoviy Dol (lower) (Locality 98),NA,Strata 1 & 2,based on nearby landmark,seconds,outcrop,"""Orenburg Region, 3.5 km north of Fedorovka village, Rodnikoviy Dol ravine (right tributary of the Sorochka River)."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.58,38.56,scotese,301,mid,45.38,31.05,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,deltaic indet.,,macrofossils,,,,,,,taxonomic,,,,Storage: Sararove State University,,phosphatic,NA,NA,NA,NA,NA,NA
1416525,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Thoosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,195869,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.950279,52.330833,Skull fragment,RU,Orenburg,,Staritskaya,,,,Thoosuchus,NA,genus,37092,Thoosuchus ? sp.,genus,37092,,Tverdokhlebov et al.,2003,28844,Fedorovka III (Locality 95),NA,,based on nearby landmark,seconds,outcrop,"""Orenburg Region, 0.5 km SE of Fedorovka village, right bank of the Sorochka River."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.64,39.77,scotese,301,mid,43.88,32,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,,,,Storage: Sararove State University,,phosphatic,NA,NA,NA,NA,NA,NA
1416523,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Wetlugasaurus,"brackish,freshwater,terrestrial",amphibious,carnivore,,195868,Smithian,,Olenekian,251.2,248.9,250.05,2.3,52.961388,52.324165,Scapulocoracoid,RU,Orenburg,,Staritskaya,,,,Wetlugasaurus,NA,genus,37106,Wetlugasaurus sp.,genus,37106,,Tverdokhlebov et al.,2003,28844,Fedorovka II (upper) (Locality 94),NA,,based on nearby landmark,seconds,outcrop,"""Orenburg Region, 1.7 km SE of Fedorovka village, right bank of the Sorochka River."" (Tverdokhlebov et al. 2003)",gplates,302,mid,58.66,39.76,scotese,301,mid,43.89,32,seton,not computable using this model,NA,NA,NA,RU,,,,,sandstone,,,,"""channel""",,macrofossils,,,,,,,taxonomic,,,,Storage: Sararove State University,,phosphatic,NA,NA,NA,NA,NA,NA
1416518,body,,,NA,,Amphibia,Temnospondyli,NO_FAMILY_SPECIFIED,Benthosuchus,"brackish,freshwater,terrestrial",amphibious,carnivore,,37040,Induan,Olenekian,-,251.902,247.2,249.551,4.702,53.266666,53.716667,Lower jaw fragments (Locality 2),RU,Orenburg,Belyaevka,,,,,Benthosuchus,NA,genus,37087,Benthosuchus sp.,genus,37087,,Tverdokhlebov et al.,2003,28844,Krasnaya yaruga gully,NA,"Obshchiy Syrt, Fedorovka hamlet, Sorochka River, Fëdorovka",based on nearby landmark,minutes,outcrop,"""...from the Obshchiy Syrt (Krasnaya yaruga gully near Fedorovka hamlet on the Sorochka River). Fëdorovka (also called Zorovka?) (Ochev, 1978).\nTverdokhlebov et al. (2003) list two sublocalities, Krasnaya Yaruga I and II, which are said to be 4 and 5 km, respectively, east from Fedorovka village. Polar coordinates originally entered (53°43'N, 53°16'E) are modified and now are based on Fedorovka village, Belyaevka District, Orenburg Region. Geographic resolution (originally >>local area<<) is enhanced to >>outcrop<< (TL).",gplates,302,mid,58.11,40.75,scotese,301,mid,43.4,32.79,seton,not computable using this model,NA,NA,NA,RU,,,"Middle part of the Vetluzhian series (Ochev, 1978).\nOriginally entered group name >>Vetluzhian<< is removed for it is no lithostratigraphic term (TL).",,not reported,,,,terrestrial indet.,,macrofossils,,,,,,,taxonomic,,,,Collection from Saratov Univ. ,Neither Tverdokhlebov et al. (2003) nor Sennikov (2008) report Chasmatosuchus sp. from Krasnaya Yaruga localities or from Fedorovka village.,phosphatic,NA,NA,NA,NA,NA,NA
