occurrence_no,pres_mode,preservation_quality,common_body_parts,abund_value,abund_unit,class,family,genus,taxon_environment,life_habit,diet,early_interval,late_interval,time_bins,museum,collection_no,age_max,age_min,age_median,age_uncer_range,lng,lat,environment,occurrence_comments,cc,state,county,formation,stratgroup,member,zone,accepted_rank,ref_author,ref_pubyr,reference_no.x,collection_name,collection_subset,collection_aka,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,geoplate,paleoage,paleolng,paleolat,paleomodel2,geoplate2,paleoage2,paleolng2,paleolat2,paleomodel3,geoplate3,paleoage3,paleolng3,paleolat3,protected,stratscale,localsection,localbed,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,collection_comments,taxonomy_comments
1311443,body,good,,1,specimens,Reptilia,NO_FAMILY_SPECIFIED,Dracoraptor,terrestrial,"ground dwelling, solitary",carnivore,Hettangian,,Hettangian,,176060,201.4,199.5,200.45,1.9,-3.169722,51.406387,marine indet.,"NMW 2015.5G.1–2015.5G.11, disarticulated but associated partial skeleton ",UK,Wales,Vale of Glamorgan,Blue Lias,Lias,Bull Cliff,Psiloceras erugatum,species,Martill et al.,2016,57761,Lavernock Point,NA,,estimated from map,seconds,small collection,"""The new specimen was collected from several limestone and mudstone blocks among debris from a small rock fall at the base of the cliff on the east side of Lavernock Point (National Grid reference ST 187681)."" ",gplates,315,mid,8.64,35.86,scotese,315,mid,0.32,37.44,seton,331,mid,13.96,27.22,,bed,,,"""The cliff at this locality is ~7 m high and exposes the top of the Late Triassic Penarth Group on the east side, and the Blue Lias Formation of the Lower Lias Group forming the point. Structurally this is the southwest dipping limb of the Lavernock syncline in the Bristol Channel Basin. The cliff fall in which Dracoraptor was discovered comprises material restricted to the lowest two to three metres of the section and comprises debris mainly from the Bull Cliff Member of the Blue Lias Formation. Lithological and bed thickness comparisons indicate that the dinosaur comes from either bed 7 or bed 9, of the Bull Cliff Member, both of which contain a thin, but distinctive bed of broken calcitic shelly material""\r\n""Considering that the new dinosaur occurs at a stratigraphic position above the 13Corg isotope anomaly; that it occurs above a clear lithological boundary representing a distinct facies change from shallow to deepening marine conditions; that it is associated with a Jurassic type shelly fauna, and that pollen analyses of nearby sections are of Jurassic type, the new dinosaur should be regarded as being of Early Hettangian age. Thus it most likely belongs to the P. erugatum subzone of the P. tilmanni Zone and is dated at 201.3 ± 0.2 million years old""",,"""limestone""",,,,Y,,,,,,,,macrofossils,,some,,,NA,,,snapshot,,,,,"NMW: Amgueddfa Cymru—National Museum Wales, Cardiff",
1310837,"body,adpression",,,NA,,Reptilia,Mixosauridae,Mixosaurus,marine,nektonic,carnivore,Anisian,,Anisian,BMNH,175949,243.8,242,242.9,1.8,8.942,45.909,lagoonal/restricted shallow subtidal,Several hundreds of this species are known from Monte San Giorgio and Besano,CH,,,Besano,,Grenzbitumenzone,,species,Maisch and Matzke,1997,57687,"Bender collection GPIT, Monte San Giorgio indet.",NA,,estimated from map,3,outcrop,,gplates,307,mid,34.28,16.7,scotese,307,mid,22.06,7.2,seton,not computable using this model,,NA,NA,,bed,,,,,dolomite,,lithified,,,"""shale""",black,lithified,,,,,macrofossils,,,,,NA,,,,,,,,"Collection purchased by Institut und Museum für Geologie und Paläontologie, Tübingen (GPIT) from fossil trader H. Bender from Waiblingen between 1930 and 1931",
1310774,body,,,NA,,Reptilia,Guanlingsauridae,Mikadocephalus,marine,nektonic,carnivore,Ladinian,,Ladinian,,175939,242,237,239.5,5,14.856667,77.65139,deltaic indet.,,SJ,,,Tschermakjfellet,,,,species,Maisch and Matzke,2000,34247,Mikadocephalus Middlehook,NA,,estimated from map,seconds,outcrop,,gplates,309,mid,17.29,56.34,scotese,309,mid,3.06,40.96,seton,not computable using this model,,NA,NA,,group of beds,,,,,"""shale""",,lithified,,,,,,,,,"From I.B. Hynne 2010.Depositional environment on eastern Svalbard and central Spitsbergen during Carnian time (Late Triassic):A sedimentological investigation of the De Geerdalen Formation. Master thesis in Arctic Geology, University of Central Svalbard.",macrofossils,,,,,NA,,,,,,,,,
1310220,body,variable,"skulls,partial skulls,teeth,vertebrae,limb elements",6,individuals,Reptilia,Captorhinidae,Opisthodontosaurus,terrestrial,ground dwelling,"insectivore, herbivore",Artinskian,,Artinskian,"FMNH,MCZ,OU,YPM",67862,290.1,283.5,286.8,6.6,-98.405998,34.775501,fissure fill,"OMNH 77469 (type, a partial skull with mandible), 43299 (a right maxilla), 43300 (left dentary), 77470 (partial skull roof and lower jaw preserved in articulation) 77471 (partial skull and lower jaws, incl. disarticulated vertebrae, pectoral girdle, right forelimb, proximal head of left humerus) and 77472 (partial lower jaws, left maxilla and fragmentary skull roof elements, partial palate, isolated dorsal vertebrae and ribs, two caudal vertebrae, partial right pelvis and femur); ROM 71398 (a single maxillary tooth); UWBM 89171 (lower jaws, partial palate, fragment of lacrimal and prefrontal) ",US,Oklahoma,Comanche,,,,,species,Reisz et al.,2015,57627,Richards Spur,NA,Fort Sill; OMNH locality V51; Dolese Bros. limestone quarry; FEP 60A,estimated from map,4,outcrop,"""situated just west of the Anadarko-Lawton highway (U.S. routes 62 and 281), 10 1/2 miles south of Apache, about 1 1/2 miles south of the junction of this route and highway 277 (from Chickasha). It is about 6 miles north of Fort Sill, in sec. 31, T. 4 N. R. 11 W., Indian Meridian and Baseline, in Comanche County, Oklahoma"" (Gregory et al., 1956 p. 2). Coordinates given in Hannibal & May (2020) as ""34°46' 31.33"" N and 98°24' 22.00""W, which is about 5 miles (8 km) west of the center of the city of Elgin.""",gplates,101,mid,-29.29,-0.39,scotese,101,mid,-28.82,0.54,seton,not computable using this model,,NA,NA,,group of beds,,,"The deposits occur within karstic deposits formed within bedding planes that were partially dissolved by meteoric dissolution of the Ordovician Arbuckle Limestone. Although long correlated with the Arroyo Formation (Clear Fork Group) of Texas (see Sullivan and Reisz, 1999 p. 1265, for discussion), radioisotopic dating of speleothems by Woodhead et al. (2010) and MacDougall et al. (2017) have provided an older estimate to around 289–286 Ma.\r\n","primarily ""fine grey clay... However, sheets of coarse conglomerate occur near the irregular fissure walls, providing evidence for occasional floods... Tetrapod remains occur within both conglomerate and clay""; clay is ""largely unlithified"" (Sullivan & Reisz, 1999 pp. 1258/59)",claystone,"fine,gray",poorly lithified,,Y,conglomerate,coarse,,,Y,non-subsiding area,,"macrofossils,mesofossils",some,some,"osteoderms,exoskeletons",,NA,,,time-averaged,,concentrated,random,abundant,"The fossils are prepared by ""washing the largely unlithified fossiliferous clays and sorting in the laboratory"" (Sullivan & Reisz, 1999 p. 1259)\r\napparently, the material comes from spoil piles produced during commercial quarrying.\r\nAdditonal institutions storing material from Richards Spur:\r\nKU(MNH)= KUVP = University of Kansas, Museum of Natural History, Lawrence\r\nROM = Royal Ontario Musuem, Toronto, Canada\r\nUCLA = University of California Los Angeles\r\nUCMP = University of California Museum of Paleontology, Berkeley\r\nUMMP = University of Michigan Museum of Paleontology, Detroit\r\nUSNM = Smithsonian National Museum of Natural History, Washington, DC\r\nUWBM = University of Washington, Burke Museum, Seattle","Bolt (1969) notes that the clay mound (the ""D-concentrate"") in the spoil heap of the quarry that contained the type material of Doleserpeton annectens bears the ""remains of many thousands of individuals but virtually no genera other than Doleserpeton"".\r\nThe type specimen of Sillerpeton permianum is said to be UCMP 62480 by Lund (1978 p. 65). This specimen number, however, does not appear among the specimens of Phlegethontia cf. longissima listed by McGinnis (1967 p. 2) but one of these specimens bears the catalogue number UCMP 62580. The latter is listed as referred specimen of S. permianum in Lund (1978 p. 66). Anderson (2002, J. Paleont. 76(6) p. 1031) lists both UCMP 62480 and 62580 as type of S. permianum. Since UCMP 62480 is a braincase according to Lund (1978) and UCMP 62580 is a braincase as well (McGinnis, 1967; Lund, 1978) and since there is only one aistopod braincase present in the Fort Sill material (Anderson, 2002) the type of S. permianum is very likely to be UCMP 62580.\r\nAnderson & Reisz (2003) do not explicitly say when the type of Bolterpeton carrolli was collected but it is improbable that this specimen was known to Bolt in 1980. OMNH 71111 and OMNH 71112, although not explicitly mentioned by Bolt (1980), well may belong to the material that was originally assigned to ""species x"". Furthermore, Anderson & Reisz (2003) do not explicitly assign the remainder of ""species x"" to Bolterpeton. Nevertheless they say that these specimens are ""closely related"" to Bolterpeton, but ""because of the size difference between Bolterpeton and Species X, it cannot be said whether Species X is a different species or an ontogenetic variant."" Thus, these specimens are re-identified here as ? Bolterpeton sp."
1310102,"body,permineralized",,,1,individuals,Reptilia,Owenettidae,Owenetta,terrestrial,,,Wuchiapingian,Changhsingian,Wuchiapingian,"AMNH,BPI",80219,259.51,251.902,255.706,7.608,24.549999,-31.866667,terrestrial indet.,RC 50 (holotype),ZA,Eastern Cape,Camdeboo,Balfour,Beaufort,,Dicynodon Assemblage Zone,species,Reisz and Scott,2002,26950,New Bethesda Commonage,NA,Nieu-Bethesda,based on nearby landmark,minutes,local area,"This collection comprises specimens collected from strata of the Dicynodon Assemblage biozone in the vicinity of New Bethesda, Graaff-Reinet (municipality currently called Camdeboo); lat long is for Nieu-Bethesda",gplates,701,mid,-17.98,-51.75,scotese,701,mid,-28.21,-61.88,seton,not computable using this model,,NA,NA,,formation,,,"It is said that the fossils come from the ""Daptocephalus zone"" (Gow, 1972) which is equivalent to the Dicynodon Assemblage Zone. Geographic and stratigraphic data suggest that the locality is in the Balfour Formation of the Beaufort Group (see Catuneanu et al., 2005, J. Afr. Earth Sci., 43, figs. 24, 25). The Dicynodon AZ is Early and Middle Changhsingian according to Catuneanu et al. (2005).\r\nYoungoides minor (junior synonym to Youngina capensis) given as Cistecephalus zone by Broom & Robinson (1948), but amended to ""Daptocephalus zone"" by Kitching (1977). Same situation with Dicynodon woodwardi (synonym to Basilodon woodwardi), given as Cistecephalus zone by Broom (1921), but as ""Daptocephalus zone"" by Kitching (1977).","At least the millerettid specimens ""are preserved in fine-grained green mudstone which may or may not form a nodule surrounding the specimen."" (Gow, 1972).",not reported,,,,,,,,,,foreland basin,,macrofossils,,,,,NA,,,,,,,,"R.C. = ""S. H. Rubidge collection housed on the farm Wellwood near Graff Reinet"" (Gow, 1972)",
1308749,body,good,,1,individuals,Reptilia,Erythrosuchidae,Shansisuchus,terrestrial,,,Anisian,,Anisian,,175580,247.2,242,244.6,5.2,110.443886,36.147221,terrestrial indet.,"SXMG V 00002, articulated skull and anterior skeleton",CN,Shanxi,,Ermaying,,Upper,,species,Wang et al.,2013,57427,Hukou waterfall,NA,,based on nearby landmark,seconds,small collection,,gplates,604,mid,116.15,14.19,scotese,604,mid,89.06,36.19,seton,not computable using this model,,NA,NA,,bed,,,Upper Ermaying Formation has generally been considered to be of Anisian age based upon vertebrate biostratigraphy,,mudstone,,,sandy,Y,,,,,,,,macrofossils,some,,,,NA,,,snapshot,,,,,,
1308746,body,,,1,individuals,Reptilia,Stagonolepididae,Polesinesuchus,terrestrial,,herbivore,Carnian,,Carnian,,175578,237,227,232,10,-53.435833,-29.658611,terrestrial indet.,"ULBRAPVT003, partial skeleton",BR,Rio Grande do Sul,São João do Polêsine,Santa Maria,Rosário do Sul,Alemoa,Hyperodapedon,species,Roberto-da-Silva et al.,2014,57422,Buriol,NA,"Buriol ravine, Sítio Buriol; Burial site",stated in text,seconds,outcrop,"Buriol ravine (29°39'30.78""S; 53°26'08.97""W) (Cabreira et al. 2016)",gplates,201,mid,-11.22,-36.82,scotese,202,mid,-17.06,-46.46,seton,not computable using this model,,NA,NA,,group of beds,,,"Locality is from the Santa Maria Sequence 2, Santa Maria Supersequence of the Rosario do Sul Group, corresponding to the Alemoa Member of the Santa Maria Formation, or so-called ""Hyperodapedon Acme Zone"" of late Carnian-early Norian age (see Langer et al. 2007).",,not reported,,,,,,,,,,,,macrofossils,,,,,NA,,,,,,,,"ULBRA PVT, Universidade Luterana do Brasil, Coleção de Paleovertebrados, Canoas",
1308719,body,medium,partial skulls,1,individuals,Reptilia,NO_FAMILY_SPECIFIED,Dagasuchus,terrestrial,,carnivore,Carnian,,Carnian,,98598,237,227,232,10,-52.450279,-29.740278,"""floodplain""","UFRGS-PV-1244-T, left ilium; UFRGS-PV-1245-T, right and left ischium",BR,Rio Grande do Sul,,Santa Maria,Rosário do Sul,,Santacruzodon,species,Lacerda et al.,2015,57402,"Santuario Schoenstatt, Santa Cruz do Sol fauna",NA,Schoenstadt,stated in text,seconds,outcrop,Outcrop located in the suburbs of the city of Santa Cruz do Sul,gplates,201,mid,-10.15,-36.88,scotese,202,mid,-15.82,-46.45,seton,not computable using this model,,NA,NA,,,,,"""Santa Cruz do Sul Fauna""; so-called ""Santacruzodon Assemblage Zone"" of the lower Santa Maria Formation (Santa Maria Sequence 1 of the Santa Maria Supersequence). \r\nOriginally identified as Ladinian. However, Melo et al. (2015) noted that U-Pb dating suggests an early Carnian age for the Santacruzodon Assemblage Zone ",,mudstone,"concretionary,red",,carbonaceous,Y,sandstone,fine,,,,,,macrofossils,some,,,,NA,,,snapshot,,,,common,"MCN-PV: Museu de Ciências e Tecnologia, Pontifïcia Universidade Católica do Rio Grande do Sul, Porto Alegre, Brazil",
1306716,body,,,NA,,Reptilia,Askeptosauridae,Askeptosaurus,marine,aquatic,piscivore,Anisian,Ladinian,Anisian,,174993,247.2,237,242.1,10.2,8.933333,45.900002,marine indet.,,CH,,,Besano,,,,species,Müller,2005,57200,Monte San Giorgio (MSNM collection),NA,,,minutes,,,gplates,307,mid,33.89,17.5,scotese,307,mid,21.18,7.66,seton,not computable using this model,,NA,NA,,,,,"From the Grenzbitumenzone, Anisian-Ladinian boundary (Müller, 2005). Stratigraphy extrapolated from Stockar et al. 2012 Swiss J. Geosci.",,not reported,,lithified,,,,,,,,,,microfossils,,,,,NA,,,,,,,,"Repository: MSNM, Museo di Scienze Naturali Milano, Italy",
1306715,body,,,NA,,Reptilia,NO_FAMILY_SPECIFIED,Hescheleria,marine,,,Anisian,,Anisian,,174992,243.8,242,242.9,1.8,8.942,45.909,marine indet.,,CH,,,Besano,,,,species,Rieppel,1987,57153,"Val Porina, ""minerale ondolatorio"", Monte San Giorgio",NA,,,3,,Val Porina Grenzbitumenzone (Rieppel 1987). Location extrapolated from the map given in Stockar et al. 2013 Sedimentology.,gplates,307,mid,34.28,16.7,scotese,307,mid,22.06,7.2,seton,not computable using this model,,NA,NA,,bed,,,"Hescheleria ruebli is from the Grenzbitumenzone (Anisian/Ladinian), ""minerale ondolatorio"" (equivalent to the layer 110 at P.902) Rieppel 1987.\r\nStratigraphic range extrapolated from Stockar et al. 2012. Swiss J. Geosci.",,not reported,,lithified,,,,,,,,,,microfossils,,,,,NA,,,,,,,,,
1306712,body,,,NA,,Reptilia,NO_FAMILY_SPECIFIED,Clarazia,marine,,,Anisian,,Anisian,,174989,243.8,242,242.9,1.8,8.942,45.909,marine indet.,,CH,,,Besano,,,,species,Rieppel,1987,57153,"Val Porina, mineraletto or minerale che si divide, Monte San Giorgio",NA,,,3,,Val Porina Grenzbitumenzone (Rieppel 1987). Location extrapolated from the map given in Stockar et al. 2013 Sedimentology.,gplates,307,mid,34.28,16.7,scotese,307,mid,22.06,7.2,seton,not computable using this model,,NA,NA,,bed,,,"Clarazia schinzi is from the Grenzbitumenzone (Anisian/Ladinian), probably the layers ""mineraletto (14) and /or minerale che si divide: (most probably equivalent to layer 78 at p. 902). Rieppel 1987.\r\nStratigraphic range extrapolated from Stockar et al. 2012. Swiss J. Geosci.",,not reported,,lithified,,,,,,,,,,microfossils,,,,,NA,,,,,,,,,
1306174,body,,postcrania,2,specimens,Reptilia,NO_FAMILY_SPECIFIED,Tachiraptor,terrestrial,"ground dwelling, solitary",carnivore,Hettangian,,Hettangian,,174849,201.4,199.5,200.45,1.9,-72.018608,8.150833,terrestrial indet.,"IVIC-P-2867, 2868",VE,Táchira,La Grita,La Quinta,,,,species,Langer et al.,2014,57144,road cut northwest of La Grita,NA,Tachiraptor type,stated in text,seconds,small collection,"a secondary road (72°01′06.60 W, 08°09′03.47 N) next to the north of the type-section and about 4 km northwest of the town of La Grita, Jáuregui municipality, Táchira State",gplates,203,mid,-31.35,-4.03,scotese,201,mid,-42.15,1.06,seton,not computable using this model,mid,NA,NA,,bed,,,lower third of the ‘middle interval’ of the La Quinta Formation,"""Greenish siltstone""",siltstone,green,,,Y,,,,,,,,macrofossils,,,,,NA,,,,,,,,,
1304767,body,,,NA,,Reptilia,Owenettidae,Owenetta,terrestrial,,,Wuchiapingian,Changhsingian,Wuchiapingian,,174663,259.51,251.902,255.706,7.608,24.424999,-32.101391,terrestrial indet.,,ZA,Eastern Cape,Graaff-Reinet,,Beaufort,,Dicynodon Assemblage Zone,species,Kitching,1977,27216,Oudeberg (Pass and Plateau) - Dicynodon Assemblage Zone,NA,Ouberg,based on nearby landmark,seconds,outcrop,,gplates,701,mid,-18.4,-51.78,scotese,701,mid,-28.76,-61.87,seton,not computable using this model,,NA,NA,,group of beds,,,"Direct dates for Dicynodon Assemblage Zone from Rubidge et al., 2013",,not reported,,,,,,,,,,,,macrofossils,,,skulls,,NA,,,,,,,,"WEL, Welwood Museum, Graaff-Reinet",
1304576,body,,,2,individuals,Reptilia,Owenettidae,Owenetta,terrestrial,,,Wuchiapingian,Changhsingian,Wuchiapingian,BPI,174623,259.51,251.902,255.706,7.608,23.200001,-31.616667,terrestrial indet.,Two skulls embedded in a small block of matrix,ZA,Western Cape,Murraysburg,,Beaufort,,Dicynodon Assemblage Zone,species,Kitching,1977,27216,Hoeksplaas (Dicynodon Assemblage Zone),NA,Kleinefontein,based on nearby landmark,minutes,local area,,gplates,701,mid,-18.56,-50.64,scotese,701,mid,-28.69,-60.73,seton,not computable using this model,,NA,NA,,group of beds,,,"Direct date for the Dicynodon Assemblage Zone from Rubidge et al., 2013",,not reported,,,,,,,,,,,,macrofossils,,,,,NA,,,,,,,,,
1304554,body,,,NA,,Reptilia,NO_FAMILY_SPECIFIED,Pareiasaurus,terrestrial,,herbivore,Wuchiapingian,,Wuchiapingian,,22661,259.51,254.14,256.825,5.37,22.014444,-32.147778,crevasse splay,,ZA,Western Cape,Beaufort West,Teekloof,Beaufort,,Tropidostoma Assemblage Zone,species,Kitching,1977,27216,Leeukloof,NA,"Leeupoort, Leeuwkloof, ETE Locality 1536",,seconds,outcrop,An area to the east of Leeukloof homestead and where the farm road passes through a small ravine or kloof is locally known as Leeuport,gplates,701,mid,-21.02,-50.36,scotese,701,mid,-30.99,-59.88,seton,not computable using this model,,NA,NA,,,,,"Originally entered as Kungurian to Olenekian\r\n\r\nDirect date for the Tropidostoma Assemblage Zone from Rubidge et al., 2013\r\n\r\n","ETE rock type adj: 0, ETE lithology comments: .",sandstone,,,,,claystone,,,,,,"ETE sed env 1: fluvial, ETE sed env 2: crev_splay ETE event: flood, ETE env comment: 0",macrofossils,,,,,NA,,,,,,,,"ETE Size: .; ETE reference list: 478, ; ETE museum list: ",
1302049,body,medium,"maxillae,mandibles,postcrania",617,specimens,Reptilia,Rhynchosauridae,Hyperodapedon,terrestrial,,herbivore,Carnian,,Carnian,,174029,237,227,232,10,81.34861,23.920555,dry floodplain,"IITKGPR36, a complete left maxillary tooth plate (holotype). Large number of referred specimens",IN,Madhya Pradesh,Shahdol,Tiki,,,,species,Mukherjee and Ray,2015,56730,"rhynchosaur bonebed, Tiki village",NA,Tikhi,estimated from map,seconds,outcrop,"""The fossil locality covers an area of about 250 × 217 m2, which was systematically explored and excavated after removing the overburden rock layers, which varied in thickness from 200 mm to about 1 m, and revealed nine isolated pockets/sites of rich megavertebrate accumulation with a cumulative surface area of 125 m2"" ",gplates,501,mid,49.11,-39.64,scotese,501,mid,50.72,-42.01,seton,not computable using this model,,NA,NA,,bed,,,The bonebed is about a meter thick,"""mudrock""",mudstone,red,,,Y,,,,,,,"""The mudstone unit hosting the rhynchosaur bonebed is interpreted to be a floodplain deposit that had been pedogenically modified similar to that seen in other mudstone units of the Tiki Formation.""","macrofossils,mesofossils",none,none,,,NA,,,time-averaged,,#NAME?,,common,"IITKGPR, Department of Geology and Geophysics, Indian Institute of Technology, Kharagpur, India",
1301648,body,,,NA,,Reptilia,NO_FAMILY_SPECIFIED,Nanchangosaurus,terrestrial,,,Olenekian,,Olenekian,,173843,248.9,247.2,248.05,1.7,111.640556,31.060833,marine indet.,,CN,Hubei,Yuan'an,,,,,species,Chen et al.,2014,56687,"Yuan'an, (Wuhan Centre of China Geological Survey 2011 )",NA,,,seconds,,,gplates,611,mid,111.81,-6.65,scotese,611,mid,97.94,15.6,seton,not computable using this model,,NA,NA,,,,,,,not reported,,,,,,,,,,,,macrofossils,,,,,NA,,,,,,,,Wuhan Centre of China Geological Survey (WCGS) collection,
1299067,body,good,,1,individuals,Reptilia,NO_FAMILY_SPECIFIED,Yunnanosaurus,terrestrial,,,Hettangian,,Hettangian,,173377,201.4,199.5,200.45,1.9,102.082504,24.957121,lacustrine - small,ZLJ 0035 (partial skeleton with traces),CN,Yunnan,Lufeng,Lufeng,,Shawan,,genus,Xing et al.,2013,56458,"Dalishu bonebed, Konglongshan",NA,"Da Li Shu, Kong Long Shan",based on nearby landmark,6,small collection,"Dalishu bonebed, near Dalishu village, Konglongshan town, Lufeng county, Yunnan",gplates,611,mid,120.21,37.59,scotese,611,mid,104.66,34.15,seton,602,mid,118.2,43.04,,bed,,,,"""a dull purplish, silty mudstone layer""",mudstone,"red,blue",,silty,Y,,,,,,,"""shallow lacustrine strata""",macrofossils,many,many,,arthropod boring,NA,,parautochthonous,,,,,,,
1299065,body,good,,2,specimens,Reptilia,Massospondylidae,Lufengosaurus,terrestrial,,,Hettangian,,Hettangian,,173377,201.4,199.5,200.45,1.9,102.082504,24.957121,lacustrine - small,"ZLJ T001 (articulated, incomplete skeleton), ZLJ 0013",CN,Yunnan,Lufeng,Lufeng,,Shawan,,species,Xing et al.,2015,56457,"Dalishu bonebed, Konglongshan",NA,"Da Li Shu, Kong Long Shan",based on nearby landmark,6,small collection,"Dalishu bonebed, near Dalishu village, Konglongshan town, Lufeng county, Yunnan",gplates,611,mid,120.21,37.59,scotese,611,mid,104.66,34.15,seton,602,mid,118.2,43.04,,bed,,,,"""a dull purplish, silty mudstone layer""",mudstone,"red,blue",,silty,Y,,,,,,,"""shallow lacustrine strata""",macrofossils,many,many,,arthropod boring,NA,,parautochthonous,,,,,,,
1298603,"mold/impression,trace",,,NA,,Reptilia,Rotodactylidae,Rotodactylus,terrestrial,,carnivore,Norian,,Norian,,55259,227,208.5,217.75,18.5,-108.914368,38.646606,fluvial indet.,,US,Colorado,Mesa,Chinle,,Monitor Butte,,genus,Parrish and Lockley,1984,56334,Alabaster Box Mine tracksite,NA,Gateway,estimated from map,6,outcrop,"from Alabaster Box Mine, near Gateway, Dolores River Valley, western Colorado",gplates,101,mid,-36.14,13.92,scotese,133,mid,-51.05,14.03,seton,not computable using this model,,NA,NA,FED,group of beds,,,"5 m interval in upper part of formation, described as from low in the group just above the Shinarump Fm., probably from the (?) Monitor Butte Formation (Adamanian) by Hunt & Lucas 2007. Orig. incorrectly assigned to the Moenkopi Fm.",,not reported,,,,,,,,,,,,macrofossils,,,,,NA,,autochthonous,,,concentrated,life position,,,
1290839,"body,adpression",excellent,,1,individuals,Reptilia,NO_FAMILY_SPECIFIED,Fuyuansaurus,terrestrial,ground dwelling,carnivore,Ladinian,,Ladinian,IVPP,106668,242,237,239.5,5,104.666664,25.083332,offshore indet.,IVPP V17983 (holotype),CN,Yunnan,Fuyuan,Falang,,Zhuganpo,,species,Fraser et al.,2013,55985,"Jiyangshan, Huabi",NA,Fuyuan,based on nearby landmark,minutes,outcrop,"Jiyangshan, near Huabi, Fuyuan County, Yunnan Province. Coordinates based on Huabi",gplates,611,mid,108.16,-8,scotese,611,mid,94,16.15,seton,not computable using this model,,NA,NA,,group of beds,,,,"""limestone""","""limestone""",,lithified,,,,,,,,,"""marine"" and ""deep water"" but there was ""a terrestrial environment nearby"" meaning ""about 100 km away""",macrofossils,some,,,,NA,,,snapshot,,,,,"GMPKU, Geological Museum of Peking University, Beijing","""cyamodontoids, nothosaurids, askeptosaurids and pistosaurids"" are apparently present but not described"
1289747,"mold/impression,trace",,,NA,,Reptilia,Grallatoridae,Anchisauripus,terrestrial,"ground dwelling, solitary",carnivore,Norian,,Norian,,55259,227,208.5,217.75,18.5,-108.914368,38.646606,fluvial indet.,,US,Colorado,Mesa,Chinle,,Monitor Butte,,genus,Conrad and Lockley,1986,55941,Alabaster Box Mine tracksite,NA,Gateway,estimated from map,6,outcrop,"from Alabaster Box Mine, near Gateway, Dolores River Valley, western Colorado",gplates,101,mid,-36.14,13.92,scotese,133,mid,-51.05,14.03,seton,not computable using this model,,NA,NA,FED,group of beds,,,"5 m interval in upper part of formation, described as from low in the group just above the Shinarump Fm., probably from the (?) Monitor Butte Formation (Adamanian) by Hunt & Lucas 2007. Orig. incorrectly assigned to the Moenkopi Fm.",,not reported,,,,,,,,,,,,macrofossils,,,,,NA,,autochthonous,,,concentrated,life position,,,
1289435,body,good,,1,individuals,Reptilia,Tanystropheidae,Macrocnemus,terrestrial,,,Ladinian,,Ladinian,,172169,242,239.7,240.85,2.3,9.830169,46.674847,marine indet.,PIMUZ A/III 722,CH,Grisons,,Prosanto,,,,species,Fraser and Furrer,2013,55902,"Gletscher Ducan, Davos",NA,,based on nearby landmark,6,small collection,,gplates,307,mid,34.41,17.91,scotese,307,mid,21.16,9.13,seton,not computable using this model,,NA,NA,,bed,,,lower Ladinian,,"""shale""",,,,Y,,,,,,,,macrofossils,some,,,,NA,,,snapshot,,,,,"PIMUZ: Palaeontologisches Institut und Museum, University of Zurich, Zurich, Switzerland",
1289434,body,good,,1,individuals,Reptilia,Tanystropheidae,Macrocnemus,terrestrial,,,Ladinian,,Ladinian,,172168,242,239.7,240.85,2.3,9.82,46.68,marine indet.,"PIMUZ A/III 1467, articulated partial skeleton",CH,Graubunden,,Prosanto,,,,species,Fraser and Furrer,2013,55902,"Ducanfurgga, Davos",NA,,based on nearby landmark,2,small collection,,gplates,307,mid,34.41,17.92,scotese,307,mid,21.16,9.14,seton,not computable using this model,,NA,NA,,bed,,,"a fossiliferous level of the Upper Prosanto Formation (bed no. 45, Early Ladinian, Middle Triassic",,"""shale""",,,,Y,,,,,,,,macrofossils,some,,,,NA,,,snapshot,,,,,"PIMUZ Palaeontologisches Institut und Museum, University of Zurich, Zurich, Switzerland",
